;Class;Order;Family;Subfamily;Genus;Species;Reproductive.guild.1..FishBase.;Reproductive.guild.2..FishBase.;Parental.care.information..FishBase.;Parental.care_1;Male_nest_building;Male_egg_care;Male_fry_care;Male_care_duration;Male_care_duration_code;Female_nest_building;Female_egg_care;Female_fry_care;Female_care_duration;Female_care_duration_code;Cumulative_care;Care_presence;Nest_building;Egg_care;Fry_care;Care_bias_score;Care_bias_binary;Care_bias_positive;Care_bias_positive_careonly;Fertilization..FishBase.;Fertilization.mode_ext;Fertilization_code_ext;revised fertilisation;revfert_ref;Fertilization.mode_restr;Fertilization_code_restr
1099;Actinopterygii;Cichliformes;Cichlidae;Geophaginae;Apistogramma;Apistogramma_bitaeniata;guarders;clutch tenders;All Apistogramma species build caves for spawning, the eggs are attached to the ceiling. Female tends the clutch;Female care;0;NA;NA;No_care;0;0;1;1;Fry_care;3;3;Present;0;NA;NA;-3;-1;0;0;external;external;1;0;;external;1
183;Actinopterygii;Cichliformes;Cichlidae;Cichlasomatinae;Amphilophus;Amphilophus_citrinellus;guarders;nesters;"Deposit eggs on hard substrates, such as rocks or logs; both parents guarding the eggs and the fry for several weeks";Biparental care;1;1;1;Fry_care;3;1;1;1;Fry_care;3;6;Present;1;1;1;0;0;3;3;external;external;1;0;;external;1
190;Actinopterygii;Cichliformes;Cichlidae;Cichlasomatinae;Hypselecara;Hypselecara_temporalis;guarders;clutch tenders;Mature males have a well developed frontal hump. Spawning occurs in holes dug in the substrate and both parents watch over their eggs and alevins;Biparental care;1;1;1;Fry_care;3;1;1;1;Fry_care;3;6;Present;1;1;1;0;0;3;3;external;external;1;0;;external;1
186;Actinopterygii;Cichliformes;Cichlidae;Cichlasomatinae;Parachromis;Parachromis_motaguensis;guarders;nesters;Subtrate guarding as a form of parental care is done by both male and female;Biparental care;1;1;1;Fry_care;3;1;1;1;Fry_care;3;6;Present;1;1;1;0;0;3;3;external;external;1;0;;external;1
176;Actinopterygii;Cichliformes;Cichlidae;Cichlinae;Cichla;Cichla_temensis;guarders;nesters;fry-guarding parental pair;Biparental care;1;1;1;Fry_care;3;1;1;1;Fry_care;3;6;Present;1;1;1;0;0;3;3;external;external;1;0;;external;1
189;Actinopterygii;Cichliformes;Cichlidae;Geophaginae;Apistogramma;Apistogramma_nijsseni;guarders;nesters;"Female guards eggs in nest; male and female guard larvae";Biparental care;1;1;1;Fry_care;3;1;1;1;Fry_care;3;6;Present;1;1;1;0;0;3;3;external;external;1;0;;external;1
175;Actinopterygii;Cichliformes;Cichlidae;Pseudocrenilabrinae;Boulengerochromis;Boulengerochromis_microlepis;guarders;nesters;with both male and female guarding their numerous (up to 12,000) fry;Biparental care;1;1;1;Fry_care;3;1;1;1;Fry_care;3;6;Present;1;1;1;0;0;3;3;external;external;1;0;;external;1
78;Actinopterygii;Cichliformes;Cichlidae;Pseudocrenilabrinae;Hemichromis;Hemichromis_elongatus;guarders;nesters;the parents guard the nest and larvae;Biparental care;1;1;1;Fry_care;3;1;1;1;Fry_care;3;6;Present;1;1;1;0;0;3;3;external;external;1;0;;external;1
185;Actinopterygii;Cichliformes;Cichlidae;Pseudocrenilabrinae;Neolamprologus;Neolamprologus_modestus;guarders;nesters;Spawns in caves, both parents care for the young.;Biparental care;1;1;1;Fry_care;3;1;1;1;Fry_care;3;6;Present;1;1;1;0;0;3;3;external;external;1;0;;external;1
181;Actinopterygii;Cichliformes;Cichlidae;Pseudocrenilabrinae;Pelvicachromis;Pelvicachromis_taeniatus;guarders;nesters;biparental egg, fry guarding;Biparental care;1;1;1;Fry_care;3;1;1;1;Fry_care;3;6;Present;1;1;1;0;0;3;3;external;external;1;0;;external;1
178;Actinopterygii;Cichliformes;Cichlidae;Pseudocrenilabrinae;Steatocranus;Steatocranus_tinanti;guarders;nesters;Both parents take care of their young.;Biparental care;1;1;1;Fry_care;3;1;1;1;Fry_care;3;6;Present;1;1;1;0;0;3;3;external;external;1;0;;external;1
179;Actinopterygii;Cichliformes;Cichlidae;Pseudocrenilabrinae;Tilapia;Tilapia_joka;guarders;nesters;male's cave. Both parents care for their young.;Biparental care;1;1;1;Fry_care;3;1;1;1;Fry_care;3;6;Present;1;1;1;0;0;3;3;external;external;1;0;;external;1
191;Actinopterygii;Cichliformes;Cichlidae;Pseudocrenilabrinae;Tilapia;Tilapia_mariae;guarders;nesters;In the field, 2530% of nests are guarded by one parent, normally the female. It is assumed that most missing males have deserted. Males who participate in brood care exhibit both close brood guarding and brood defence at a lower level than females,;Biparental care;1;1;1;Fry_care;3;1;1;1;Fry_care;3;6;Present;1;1;1;0;0;3;3;external;external;1;0;;external;1
182;Actinopterygii;Cichliformes;Cichlidae;Pseudocrenilabrinae;Tilapia;Tilapia_rendalli;guarders;nesters;both parents guard the eggs and young.;Biparental care;1;1;1;Fry_care;3;1;1;1;Fry_care;3;6;Present;1;1;1;0;0;3;3;external;external;1;0;;external;1
180;Actinopterygii;Cichliformes;Cichlidae;Pseudocrenilabrinae;Variabilichromis;Variabilichromis_moorii;guarders;nesters;both parents care for their young;Biparental care;1;1;1;Fry_care;3;1;1;1;Fry_care;3;6;Present;1;1;1;0;0;3;3;external;external;1;0;;external;1
177;Actinopterygii;Cichliformes;Cichlidae;Ptychochrominae;Ptychochromis;Ptychochromis_oligacanthus;guarders;nesters;Parents guard the young.;Biparental care;1;1;1;Fry_care;3;1;1;1;Fry_care;3;6;Present;1;1;1;0;0;3;3;external;external;1;0;;external;1
