Orders,external,mouth,oviduct,pouch,all
Acanthuriformes,89,,,,89
Acipenseriformes,24,,,,24
Albuliformes,12,,,,12
Alepocephaliformes,9,,,,9
Amiiformes,1,,,,1
Anabantiformes,2,,,58,60
Anguilliformes,56,,,,56
Argentiniformes,41,,,,41
Atheriniformes,130,,21,,151
Aulopiformes,72,,,,72
Batrachoidiformes,7,,,,7
Beloniformes,122,,23,,145
Beryciformes,14,,,,14
Blenniiformes,107,,3,,110
Callionymiformes,186,,,,186
Caproiformes,1,,,,1
Carangiformes,153,,,,153
Centrarchiformes,102,,,,102
Characiformes,172,,6,,178
Cichliformes,397,67,,,464
Clupeiformes,135,,,,135
Cypriniformes,617,,,,617
Cyprinodontiformes,311,,190,,501
Elopiformes,4,,,,4
Esociformes,9,,,,9
Gadiformes,62,,,,62
Galaxiiformes,18,,,,18
Gasterosteiformes,22,,,,22
Gerriformes,1,,,,1
Gobiesociformes,4,,,,4
Gobiiformes,68,,,,68
Gonorynchiformes,2,,,,2
Gymnotiformes,7,,,,7
Holocentriformes,79,,,,79
incertae sedis,472,,26,,498
Istiophoriformes,13,,,,13
Kurtiformes,30,,1,,31
Labriformes,155,,,,155
Lampriformes,10,,,,10
Lepidogalaxiiformes,,,1,,1
Lepisosteiformes,5,,,,5
Lophiiformes,76,,,,76
Mugiliformes,72,,,,72
Myctophiformes,40,,,,40
Notacanthiformes,2,,,,2
Ophidiiformes,281,,96,,377
Osmeriformes,14,,,,14
Osteoglossiformes,12,,,,12
Perciformes,730,,,,730
Percopsiformes,7,,,,7
Pleuronectiformes,585,,,,585
Polypteriformes,2,,,,2
Saccopharyngiformes,2,,,,2
Salmoniformes,66,,,,66
Scombriformes,82,,,,82
Scorpaeniformes,120,,121,,241
Siluriformes,325,,2,32,359
Stomiiformes,26,,,,26
Synbranchiformes,105,,,,105
Syngnathiformes,6,,,296,302
Tetraodontiformes,68,,,,68
Trachiniformes,14,,,,14
Zeiformes,3,,,,3
Total,6359,67,490,386,7302
